path,value
/SOL_MUR/blobs/blob6/u,-0.18212825059890747
/SOL_MUR/blobs/blob6/v,0
/SOL_MUR/blobs/blob7/id,0
/SOL_MUR/blobs/blob7/tx,-4
/SOL_MUR/blobs/blob7/ty,-3.125
/SOL_MUR/blobs/blob7/u,-0.18212825059890747
/SOL_MUR/blobs/blob7/v,0
/SOL_MUR/blobs/blob8/id,0
/SOL_MUR/blobs/blob8/tx,-4
/SOL_MUR/blobs/blob8/ty,-3.125
/SOL_MUR/blobs/blob8/u,-0.18212825059890747
/SOL_MUR/blobs/blob8/v,0
/SOL_MUR/blobs/blob9/id,0
/SOL_MUR/blobs/blob9/tx,-4
/SOL_MUR/blobs/blob9/ty,-3.125
/SOL_MUR/blobs/blob9/u,-0.18212825059890747
/SOL_MUR/blobs/blob9/v,0
/SOL_MUR/specs/Scalex,5.863999843597412
/SOL_MUR/specs/Scaley,6.25
/MUR/blobs/blob0/id,0
/MUR/blobs/blob0/tx,-4
/MUR/blobs/blob0/ty,-4.6875
/MUR/blobs/blob0/u,-0.18212825059890747
/MUR/blobs/blob0/v,-1
/MUR/blobs/blob1/id,0
/MUR/blobs/blob1/tx,-4
/MUR/blobs/blob1/ty,-4.6875
/MUR/blobs/blob1/u,-0.18212825059890747
/MUR/blobs/blob1/v,-1
/MUR/blobs/blob2/id,0
/MUR/blobs/blob2/tx,-4
/MUR/blobs/blob2/ty,-4.6875
/MUR/blobs/blob2/u,-0.18212825059890747
/MUR/blobs/blob2/v,-1
/MUR/blobs/blob3/id,0
/MUR/blobs/blob3/tx,-4
/MUR/blobs/blob3/ty,-4.6875
/MUR/blobs/blob3/u,-0.18212825059890747
/MUR/blobs/blob3/v,-1
/MUR/blobs/blob4/id,0
/MUR/blobs/blob4/tx,-4
/MUR/blobs/blob4/ty,-4.6875
/MUR/blobs/blob4/u,-0.18212825059890747
/MUR/blobs/blob4/v,-1
/MUR/blobs/blob5/id,0
/MUR/blobs/blob5/tx,-4
/MUR/blobs/blob5/ty,-4.6875
/MUR/blobs/blob5/u,-0.18212825059890747
/MUR/blobs/blob5/v,-1
/MUR/blobs/blob6/id,0
/MUR/blobs/blob6/tx,-4
/MUR/blobs/blob6/ty,-4.6875
/MUR/blobs/blob6/u,-0.18212825059890747
/MUR/blobs/blob6/v,-1
/MUR/blobs/blob7/id,0
/MUR/blobs/blob7/tx,-4
/MUR/blobs/blob7/ty,-4.6875
/MUR/blobs/blob7/u,-0.18212825059890747
/MUR/blobs/blob7/v,-1
/MUR/blobs/blob8/id,0
/MUR/blobs/blob8/tx,-4
/MUR/blobs/blob8/ty,-4.6875
/MUR/blobs/blob8/u,-0.18212825059890747
/MUR/blobs/blob8/v,-1
/MUR/blobs/blob9/id,0
/MUR/blobs/blob9/tx,-4
/MUR/blobs/blob9/ty,-4.6875
/MUR/blobs/blob9/u,-0.18212825059890747
/MUR/blobs/blob9/v,-1
/MUR/specs/Scalex,5.863999843597412
/MUR/specs/Scaley,3.125
/SOL/blobs/blob0/id,0
/SOL/blobs/blob0/tx,-4
/SOL/blobs/blob0/ty,-1.5625
/SOL/blobs/blob0/u,-0.18212825059890747
/SOL/blobs/blob0/v,0
/SOL/blobs/blob1/id,0
/SOL/blobs/blob1/tx,-4
/SOL/blobs/blob1/ty,-1.5625
/SOL/blobs/blob1/u,-0.18212825059890747
/SOL/blobs/blob1/v,0
/SOL/blobs/blob10/id,0
/SOL/blobs/blob10/tx,-4
/SOL/blobs/blob10/ty,-1.5625
/SOL/blobs/blob10/u,-0.18212825059890747
/SOL/blobs/blob10/v,0
/SOL/blobs/blob11/id,0
/SOL/blobs/blob11/tx,-4
/SOL/blobs/blob11/ty,-1.5625
/SOL/blobs/blob11/u,-0.18212825059890747
/SOL/blobs/blob11/v,0
/SOL/blobs/blob12/id,0
/SOL/blobs/blob12/tx,-4
/SOL/blobs/blob12/ty,-1.5625
/SOL/blobs/blob12/u,-0.18212825059890747
/SOL/blobs/blob12/v,0
/SOL/blobs/blob13/id,0
/SOL/blobs/blob13/tx,-4
/SOL/blobs/blob13/ty,-1.5625
/SOL/blobs/blob13/u,-0.18212825059890747
/SOL/blobs/blob13/v,0
/SOL/blobs/blob14/id,0
/SOL/blobs/blob14/tx,-4
